job title,job link,job location,salary,skills required,company name
Data Analyst,https://wuzzuf.net/jobs/p/sbfNVsAYhQVm-Data-Analyst-Lecico-Egypt-Alexandria-Egypt,"Alexandria, Egypt ",Confidential,"['Analyst', 'Data Analysis', 'Information Technology (IT)', 'Science', 'English', 'Data Analyst', 'Computer Science', 'Analysis', 'Data']",Lecico Egypt
Senior Data Analyst,https://wuzzuf.net/jobs/p/pDuDzSwwSi9g-Senior-Data-Analyst-Goldentex-Sharqia-Egypt,"10th of Ramadan City, Sharqia, Egypt ",Confidential,"['BI', 'Analysis', 'Computer Science', 'Data Analysis', 'Engineering', 'Information Technology (IT)', 'Power BI', 'SQL', 'English', 'Data Analyst']",Goldentex
Data Analyst,https://wuzzuf.net/jobs/p/BzOoVQ8CU4Zp-Data-Analyst-Carina-Wear-Cairo-Egypt,"New Cairo, Cairo, Egypt ",Confidential,"['Data Analysis', 'Microsoft Power BI', 'business', 'Analysis', 'Computer Science', 'Big Data Analytics', 'Power BI', 'Visualization', 'SQL', 'Python', 'Data Warehousing', 'Data Warehouse', 'ETL Tools', 'ETL', 'DAX']",Carina Wear
Data Analyst,https://wuzzuf.net/jobs/p/L0E2Pq7S2bqQ-Data-Analyst-Options-Cairo-Egypt,"Cairo, Egypt ",16000 to 20000 EGP Per Month,"['Analysis', 'Analyst', 'Computer Science', 'Python', 'SQL', 'AWS', 'Information Technology (IT)', 'Data Analyst', 'Data Analysis', 'Marketing']",Options
BI Data Analyst,https://wuzzuf.net/jobs/p/y4g4QcDGxdQh-BI-Data-Analyst-Cairo-Egypt,"Nasr City, Cairo, Egypt ","Confidential, Competitive salary.
Comprehensive health, dental, and vision insurance.
Professional development opportunities and ongoing training.
Paid time off and holiday leave.","['Analysis', 'BI Analyst', 'Data Analyst', 'excel', 'Power BI', 'Python', 'Data Analysis', 'Information Technology (IT)', 'Computer Science', 'BI']",Confidential
Data Analyst,https://wuzzuf.net/jobs/p/JzwfRgWZxmHL-Data-Analyst-EGEC-Giza-Egypt,"Haram, Giza, Egypt ",Confidential,"['analytical', 'Analysis', 'Computer Science', 'Reporting', 'Data Analysis', 'Communication skills']",EGEC
Data Quality Analyst,https://wuzzuf.net/jobs/p/Xf9v8OKDhUnC-Data-Quality-Analyst-The-Address-Investments-for-Real-Estate-Consultancy-Cairo-Egypt,"New Cairo, Cairo, Egypt ",Confidential,"['Analysis', 'Analyst', 'Computer Science', 'Data', 'Data Analysis', 'data quality', 'Information Technology (IT)', 'Quality analyst', 'quality', 'Administration', 'business', 'Business Administration', 'Communication', 'Marketing', 'Microsoft Office', 'Real Estate', 'Research']",The Address Investments for Real Estate Consultancy
Data Collector,https://wuzzuf.net/jobs/p/Z40rIR9Q2TXQ-Data-Collector-Antolino-Impex-Trade-Cairo-Egypt,"New Cairo, Cairo, Egypt ",10000 to 15000 EGP Per Month,"['Data Collection', 'data collector', 'Raw Materials', 'Outdoor Sales', 'Sales Field']",Antolino Impex Trade
Data Scientist,https://wuzzuf.net/jobs/p/ADYmYAIdfprB-Data-Scientist-BBI-Consultancy-Cairo-Egypt,"Nasr City, Cairo, Egypt ",Confidential,"['Computer Science', 'Data Analytics', 'Data Science', 'Data', 'data scientist', 'Information Technology (IT)', 'Mathematics', 'Science', 'Python', 'Artificial Intelligence', 'AI', 'Dataiku', 'Scripting']",BBI
Data Scientist,https://wuzzuf.net/jobs/p/A1R0nwGwUvSB-Data-Scientist-Wakeb-Data-Giza-Egypt,"Mohandessin, Giza, Egypt ","Confidential, Medical Insurance","['Computer Science', 'data scientist', 'Python']",Wakeb Data
Senior SQL Database Developer,https://wuzzuf.net/jobs/p/CQWOE9E8KDSY-Senior-SQL-Database-Developer-Al-Ateeq-Software-Cairo-Egypt,"New Heliopolis, Cairo, Egypt ",Confidential,"['Computer Science', 'Information Technology (IT)', 'Database Development', 'SQL Server', 'Database', 'Software Development', 'Oracle', 'Microsoft SQL Server', 'Development', 'SQL']",Al Ateeq Software
Data Entry,https://wuzzuf.net/jobs/p/jFZYPjpViHVs-Data-Entry-Data-Science-Giza-Egypt,"Hadayek October, Giza, Egypt ",Confidential,"['Data Entry', 'Administration', 'Data', 'Database', 'excel', 'typing skills', 'Typing', 'Accounting', 'business', 'Microsoft Office']",Data Science
